Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Faster Python Services,"Sometimes, the difference between a good Python application and a great one isn't found in the code; it's in the services that support your software. In this course, instructor Miki Tebeka introduces Python optimization tips and techniques to develop and run more efficient sites and applications. Learn how to find bottlenecks, stress test your code, use caching algorithms, ""cheat"" effectively, distribute work on one or more machines, and pick the right transport and encoding methods. He also introduces load balancers and powerful server frameworks for HTTP and TCP, and shows how to serve static content. Plus, learn how to monitor performance of your projects and set up alerts, so you'll know when a system or service fails.",Course,2020-03-20 21:36 UTC,N/A,false,N/A,
Content Marketing: Blogs,"<i>Content Marketing</i> is a series of courses designed to help marketers think differently about content and its potential to elevate your brand in a crowded marketing landscape. This installment focuses on blogs, which provide a different avenue for reaching customers online.<br><br>

Are you a business that needs to start a blog from scratch? Dayna Rothman, senior marketer at Marketo, shows how to choose a blogging platform and design your first blog. Then she dives into creating content that will drive conversions—writing on your own or with inside and outside contributors. Finally, she explains how to promote your blog and measure the impact of your marketing efforts. Start now and learn how to connect with customers and market your business online with great blog content.",Course,2018-07-18 15:47 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:608993,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:608993,Course,2018-08-18 14:29 UTC,N/A,false,N/A,
Live Sound Engineering Techniques: On Tour with Rush,"Follow along with Brent Carpenter on tour with Rush, as he demonstrates what it is like to be a live sound engineer for a major rock show. We shadow Brent and the Rush sound crew as they prepare for the Denver, Colorado, show on their Clockwork Angels tour, where the band is set to perform for 12,000 fans. After the gear is loaded into the venue, Brent explains how he and the crew set up the rigging, amp racks, and fly the speaker arrays to make sure well-balanced stereo sound reaches every seat in the arena. He also shows how he sets up his console to mix the onstage sound for Geddy Lee, Alex Lifeson, and Neil Peart and configures the in-ear monitor system and balance of audience mics for each member of the band. Then we get to sit backstage with Brent and watch what he does during line check, sound check, and the actual show. After the fans file out, see how all the equipment comes back down and is packed away so the cycle can start all over in the next city.",Course,2019-06-06 04:05 UTC,N/A,false,N/A,
Xcode 10 Essential Training,"Explore the major features of Xcode 10, the integrated development environment for developers of macOS, iOS, watchOS, and tvOS apps. This course helps new Apple developers install Xcode and start writing and editing code—covering the most important concepts in less than two hours. Instructor Todd Perkins reviews the version control and storyboard features, as well as the basics of Interface Builder, the intuitive UI design tool, and shows how to compile and debug apps and create unit tests to make sure your code does what it's supposed to do.",Course,2019-06-27 01:19 UTC,N/A,false,N/A,
Creating a Keynote Presentation,"The keynote is a special speech. As the cornerstone of an event, these talks tend to be longer than traditional speeches, more entertaining than strictly educational, and delivered to large audiences. If you've been asked to deliver a keynote, then this course can help by showing you how to plot out and deliver a lively, impactful presentation that drives your message home. Join Todd Dewett as he spells out how to structure your keynote, craft a compelling story, use emotions to enhance your overall message, and prepare to deliver on the day of the event.",Course,2021-02-02 20:13 UTC,2021-02-02 20:05 UTC,false,N/A,
Designing a Replacement Part using 3D printing,"Creating replacement parts for household appliances and furniture (like a broken oven knob or draw pull) is a great use of desktop 3D printers. In this short project course, author Kacie Hultgren takes us through the four steps needed to design and ultimately print a replacement part with your 3D printer: sketching your ideas on paper, translating notes into a digital design with a CAD program, testing the print, and then revising and improving on your model. Start now and learn to create replacement parts that are almost as good as the original.",Course,2020-09-26 17:24 UTC,N/A,false,N/A,
Inspirational Leadership Skills: Practical Motivational Leadership,"As a manager, you have the power to make or break your employees' experience at work. This course was designed to show you how to sharpen your leadership skills, define a vision for your team, and ultimately transcend from a manager to an inspirational leader. Instructor Chris Croft has spent 20+ years teaching leadership skills to professionals of all stripes. Here, he draws from his experiences as he shares over two dozen practical steps you can take to inspire and motivate your team. Get practical strategies for delegating and motivating, communication, dealing with difficult people, and planning the future of your business. Along the way, Chris shares examples from multiple industries that illustrate how these concepts function in the real world.",Course,2021-02-02 19:27 UTC,N/A,false,N/A,
Learning MainStage 3,"MainStage 3 turns your computer into an instrument for live performance. It allows you to perform with a laptop, play backing tracks, process vocals, and loop tracks live while accessing the same library of sounds from its sister app, Logic Pro, is known for. Who better to show off this powerful live-performance tool than a professional singer/songwriter? This course features NYC-based musician Julian Velard's original music and his insights on working with MainStage in a real live-performance scenario. <br><br>

Julian begins with a quick-start guide for getting a live show ready. He covers the basic tools of the MainStage interface, including patches, channel strips, in-depth uses of the various inspector areas, MIDI mapping, and MIDI FX. He also explains how to design your own MainStage workspace—a critical piece of being comfortable on stage. Finally, he demonstrates how to use the Playback and Loopback plugins, as well as record your performances in MainStage.",Course,2019-06-02 20:29 UTC,N/A,false,N/A,
Public Speaking Foundations,"<p>Develop the skills you need to prepare and deliver an outstanding speech or presentation. In this course, Laura Bergells offers practical insights that can help presenters prepare, open, deliver, and close their speeches. Along the way, discover how to project confidence, outline a speech, take questions, and develop the creative story that adds life to a speech. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/public-speaking-skills-professional-certificate-by-toastmasters-international"" target=""_blank"">Professional Certificate</a> from Toastmasters International.</p>",Course,2021-02-02 19:17 UTC,N/A,false,N/A,
